CustomerID,Age,Gender,MaritalStatus,NumDependents,EducationLevel,EmploymentStatus,AnnualIncome,CreditScore,AccountAgeMonths,NumProducts,HasCreditCard,HasCheckingAccount,HasSavingsAccount,HasLoan,HasMortgage,AccountBalance,CreditLimit,MonthlyTransactions,AvgTransactionAmount,MonthlyAccountSpending,ATMUsageFrequency,OnlineBankingUsage,MobileAppUsage,ComplaintsFiledLastYear,ComplaintsResolved,ServiceCallsLastMonth,CreditUtilizationRatio,DaysWithoutActivity,Churn
2775,34,Female,Widowed,1,Master,Retired,52975,727,75,5,1,1,1,1,1,89440,8418,69,2065,16420,15,2,1,1,1,2,0.9448131925757911,127,1
2350,30,Female,Single,3,High School,Unemployed,103591,480,100,4,1,1,1,0,0,190031,2740,27,4438,17193,12,13,10,4,3,1,0.3133747282810678,26,0
2667,66,Female,Divorced,0,Bachelor,Unemployed,155333,636,19,3,0,1,0,1,0,163297,23442,2,3087,4575,8,20,3,1,4,0,0.5893081445258203,161,0
2334,21,Female,Married,1,Bachelor,Employed,42113,503,104,1,0,1,1,0,0,2221,12865,79,4233,11994,0,9,1,4,3,2,0.22155181619993358,61,0
2156,38,Female,Single,1,Doctorate,Employed,31136,696,101,3,0,1,1,0,1,435938,10734,60,2973,15203,7,0,12,1,3,2,0.7288146973812732,172,1
1531,37,Male,Divorced,4,Master,Unemployed,77745,388,21,1,1,1,1,1,0,442120,38974,77,4576,10845,8,22,0,3,3,0,0.998473875474441,79,0
2259,64,Male,Divorced,2,Bachelor,Self-Employed,106008,716,27,5,1,0,0,1,0,365364,26850,53,2764,14174,12,15,7,2,2,2,0.19991403379329742,105,0
2482,50,Male,Single,3,High School,Unemployed,98784,347,29,1,1,1,1,0,1,322665,5480,9,1891,968,18,18,12,3,1,0,0.00890586655163994,44,1
1015,41,Female,Single,1,High School,Unemployed,105283,479,36,3,0,1,1,1,1,411723,46441,41,3435,9457,2,9,17,2,3,2,0.061346409895119525,24,0
2932,64,Female,Divorced,3,Doctorate,Self-Employed,158579,827,39,4,0,1,1,0,0,382299,24167,21,3921,7462,17,2,3,1,3,0,0.6896899471524939,76,0
2060,76,Male,Single,2,Doctorate,Self-Employed,98947,667,58,4,1,1,0,0,0,487450,29147,71,1247,17111,17,26,14,1,3,2,0.8976350107441573,159,0
2724,21,Male,Divorced,1,Master,Employed,112508,554,71,5,1,1,1,0,1,238906,49431,81,3860,6057,4,18,8,1,4,2,0.6148149526556361,115,0
2365,19,Male,Single,2,Master,Unemployed,26212,608,61,5,1,1,1,0,0,490569,22310,95,3443,10229,10,25,5,3,4,0,0.6512714036250297,38,0
2597,35,Female,Widowed,1,Doctorate,Unemployed,168645,721,31,1,0,0,0,1,0,6577,14055,7,3524,12364,15,1,19,1,2,0,0.7348414908520642,172,1
1138,61,Male,Widowed,2,Bachelor,Self-Employed,107858,746,47,2,1,1,0,1,0,60631,13595,6,3635,11410,14,13,5,1,2,0,0.22786307500594127,168,1
2993,31,Male,Divorced,0,Master,Employed,122566,555,114,2,1,1,0,1,1,142524,22942,98,1528,15244,5,15,15,1,0,1,0.20948160210075628,7,0
2248,21,Female,Widowed,1,Doctorate,Employed,93551,576,73,5,1,0,1,1,0,450510,39626,3,3267,5066,3,28,7,1,1,1,0.6257477787208708,136,0
1651,65,Female,Married,0,Master,Self-Employed,32856,747,94,3,1,1,1,0,1,359508,27961,9,1953,9191,19,27,10,0,3,0,0.9278870954736647,4,0
2382,79,Female,Widowed,2,Master,Retired,148156,568,51,1,1,1,1,0,0,251628,39744,16,4431,10569,2,10,1,2,0,2,0.3619619362291483,100,0
1274,79,Male,Widowed,0,Doctorate,Unemployed,54629,478,77,4,0,1,1,1,1,39794,46647,94,928,10928,6,4,2,4,2,2,0.5374133318750218,146,1
2112,34,Male,Widowed,0,Bachelor,Retired,73836,323,6,3,1,1,1,0,1,23409,1455,98,1413,15336,2,13,6,4,4,2,0.5957790784178173,51,1
1359,33,Male,Married,3,Master,Unemployed,87421,317,36,1,0,1,1,0,1,281206,11934,47,1629,2605,12,24,6,2,1,2,0.4580156182451046,146,1
2703,25,Female,Divorced,2,Master,Retired,94034,847,41,2,1,0,0,0,1,314533,46911,50,4865,1222,4,27,3,3,0,1,0.8545088911707059,95,1
2380,66,Female,Married,3,High School,Unemployed,39977,843,89,2,1,1,1,1,0,11204,2896,38,1605,3243,0,2,6,1,1,0,0.9102328101535118,36,1
1905,61,Male,Widowed,2,Bachelor,Employed,148381,620,51,4,0,0,1,0,0,31604,45269,63,1262,1075,0,16,3,0,0,1,0.6079091163091758,18,0
1860,62,Female,Married,1,Bachelor,Employed,194104,605,77,1,0,1,1,1,1,23593,21011,48,2312,17826,14,19,2,4,4,2,0.21573068833452458,72,1
1679,41,Male,Widowed,0,Doctorate,Employed,123134,457,40,4,1,1,0,1,0,131855,15456,71,4731,8109,10,14,0,0,3,2,0.3141335169254049,75,0
1634,39,Female,Married,1,Bachelor,Employed,140627,781,83,4,0,1,1,1,0,196532,21232,8,2778,17948,8,25,2,4,3,2,0.719299936981433,100,1
1813,70,Male,Single,4,Bachelor,Self-Employed,42694,315,45,2,0,1,1,0,0,25099,7934,3,2538,9687,12,7,15,2,0,0,0.8169859876514336,150,1
2038,63,Female,Single,4,Doctorate,Employed,71012,466,116,2,0,0,1,0,0,351556,49809,14,1489,18843,3,9,2,2,3,1,0.7052952179396415,170,1
2748,19,Male,Married,1,Master,Self-Employed,28630,556,100,2,1,1,1,0,0,124322,20877,87,2700,16436,9,27,18,4,4,0,0.5674344714242641,107,1
1789,24,Male,Divorced,1,Bachelor,Self-Employed,66940,418,79,2,0,1,1,0,0,181379,22545,52,2507,1287,0,29,19,1,3,2,0.8867171556146514,130,1
2312,32,Male,Single,3,Doctorate,Employed,49048,356,28,3,1,1,1,1,0,12839,6108,52,1688,16355,10,2,5,4,2,1,0.6820931707235496,55,1
1889,56,Male,Single,1,High School,Unemployed,183377,808,46,4,0,0,1,0,1,491624,22432,43,4151,6649,14,8,9,0,0,0,0.17940908419162316,176,0
1452,22,Male,Divorced,4,Bachelor,Self-Employed,117367,313,83,5,1,1,1,0,0,422446,21490,63,2562,15605,1,18,2,1,2,0,0.9304122596129039,21,0
2177,26,Female,Divorced,1,Bachelor,Retired,122395,475,84,3,0,1,0,0,0,172195,24162,59,3731,16143,13,24,2,0,4,0,0.8917208757399636,67,0
2022,48,Female,Single,1,High School,Retired,26083,743,116,5,0,1,0,1,1,792,9637,5,1896,9310,12,5,16,0,1,0,0.9670335085917307,99,1
2056,51,Male,Widowed,3,High School,Employed,60002,465,20,1,0,1,1,0,0,92060,13061,92,3002,5127,16,28,10,4,1,2,0.45974777065024575,11,1
2294,41,Female,Single,3,High School,Unemployed,54622,411,88,5,0,1,1,1,0,474132,34452,68,3275,19698,14,3,16,4,3,1,0.8767649074853728,142,1
2228,68,Female,Single,1,Doctorate,Employed,53822,572,101,5,1,1,1,1,0,219087,14870,36,3149,7447,10,2,14,0,2,0,0.8218014527582085,117,0
2014,18,Female,Divorced,3,High School,Self-Employed,149789,657,57,4,1,1,1,0,0,186254,38930,57,4035,14172,4,7,4,4,3,2,0.9638925227075971,145,1
1987,47,Male,Married,0,Master,Employed,160749,437,30,4,1,1,1,0,0,306696,49438,45,614,3423,5,27,8,1,0,0,0.7141815918326391,139,1
1066,31,Male,Divorced,2,High School,Retired,164338,382,22,3,0,1,1,1,0,58133,6427,24,3829,6259,7,14,5,0,2,1,0.8374376228217134,62,0
1877,20,Female,Married,2,Master,Retired,71248,432,3,5,1,1,1,0,0,64370,2662,6,3045,13009,6,27,11,1,0,2,0.29537187625899475,160,1
1089,19,Male,Widowed,0,Bachelor,Employed,20486,645,67,4,1,1,1,0,1,276389,14801,40,3131,6087,8,22,5,4,3,2,0.7756728070724583,127,1
1724,43,Male,Widowed,4,Doctorate,Unemployed,31009,673,86,1,0,1,1,0,0,150410,2149,27,3497,18027,10,6,16,0,2,2,0.9874495599132513,88,0
2051,48,Female,Married,1,Master,Unemployed,104258,602,33,2,1,0,1,1,0,58844,14381,84,2583,12738,1,19,13,1,0,0,0.7151031785570919,95,1
1821,52,Male,Divorced,1,Master,Employed,100618,777,14,4,0,1,1,0,0,169170,40984,97,4711,7881,8,6,17,3,0,0,0.3728139719210396,83,0
2119,51,Female,Widowed,2,High School,Unemployed,72635,302,73,5,0,1,1,0,0,22169,26471,39,198,15951,14,17,2,3,4,0,0.1844193267940072,135,1
1076,77,Male,Widowed,0,Bachelor,Retired,69297,572,83,2,0,1,1,0,0,65708,3931,52,1597,4395,17,25,14,2,4,1,0.5601654905452937,118,1
1472,41,Male,Widowed,2,High School,Self-Employed,104629,813,37,1,1,1,1,1,0,407050,5516,32,89,4659,1,6,8,3,0,1,0.9226935134429329,169,1
1559,23,Female,Married,3,High School,Employed,166776,300,77,2,1,1,1,0,1,325636,1382,34,2726,6081,19,0,15,2,4,1,0.6723879254616284,49,0
2936,41,Female,Divorced,0,Bachelor,Retired,124060,460,44,5,1,1,1,0,0,112566,46279,32,2013,9371,4,10,17,4,3,2,0.8107110989073822,121,1
2462,56,Female,Married,2,Bachelor,Self-Employed,107897,595,42,5,1,1,1,1,0,460282,14057,1,3151,19710,0,20,19,4,0,1,0.43431977220163875,165,1
2195,52,Female,Divorced,0,Doctorate,Unemployed,83690,646,116,4,1,1,1,1,0,65032,22531,60,1984,17473,6,18,10,0,0,1,0.8671446285811206,60,0
1090,79,Female,Married,1,Master,Employed,43762,665,46,1,1,1,1,0,0,294820,31398,5,3462,16284,8,29,2,1,0,2,0.5129016528936132,10,0
2136,28,Male,Widowed,1,Bachelor,Retired,146865,821,65,5,1,1,1,0,0,109865,13888,32,3156,6584,2,13,19,1,2,0,0.2264406203310816,103,1
1620,18,Male,Divorced,2,Doctorate,Self-Employed,190923,754,90,2,1,1,1,0,0,446681,5721,30,844,12435,19,16,8,3,2,1,0.020331442973430813,2,0
1069,26,Female,Married,2,Doctorate,Employed,81607,567,27,3,1,1,1,0,0,359244,16620,56,2239,1629,5,28,17,4,4,1,0.6864642943863801,120,1
1299,43,Male,Single,0,Bachelor,Retired,94408,846,88,1,1,1,1,1,0,113612,25944,13,2007,17285,5,6,18,3,2,0,0.8383434708955511,77,0
1997,35,Female,Married,2,High School,Unemployed,94877,786,38,1,1,1,1,1,1,270468,35584,17,4573,623,4,8,9,1,3,0,0.11753110950497103,74,0
1951,45,Male,Widowed,0,Master,Self-Employed,40601,782,105,3,1,1,1,1,0,440884,20186,51,1441,7297,5,29,5,4,0,2,0.8434072918726451,72,0
1167,52,Female,Married,3,Bachelor,Unemployed,42419,564,14,5,1,1,1,0,0,317263,4794,87,2766,19252,7,15,3,2,4,0,0.2315674782789271,11,0
2971,32,Male,Single,2,High School,Self-Employed,191840,365,5,4,0,1,1,0,0,195513,26354,70,2255,14633,17,19,12,2,1,1,0.4622474565322625,162,1
2489,62,Male,Widowed,0,Doctorate,Unemployed,30715,764,75,4,1,1,1,0,0,377356,20788,91,4956,17472,13,14,8,4,2,1,0.515392971393247,82,0
2240,43,Male,Single,0,High School,Retired,146733,303,10,1,1,1,1,0,0,98684,44508,99,4978,7858,9,16,0,4,0,0,0.15330834485452738,128,1
1493,75,Female,Married,1,High School,Employed,71310,344,75,5,1,1,0,1,1,436146,15412,69,2289,18196,3,0,5,1,0,1,0.2911874588185589,169,1
2243,42,Male,Single,3,Bachelor,Unemployed,105693,413,78,3,1,1,0,1,0,493157,5014,3,487,1524,1,17,1,0,3,0,0.8584872939214344,76,0
2345,55,Female,Single,4,Doctorate,Self-Employed,162513,818,56,2,1,1,1,0,0,341361,47905,56,4264,15623,5,19,12,1,3,2,0.6982084964523401,72,0
1306,28,Female,Divorced,4,Bachelor,Employed,72335,753,35,1,0,1,0,0,0,295169,43964,53,345,12859,15,25,19,4,0,1,0.5628398170087364,72,0
1411,33,Male,Married,1,Bachelor,Unemployed,198625,576,94,3,0,1,1,1,1,78437,40870,79,4506,6258,3,16,17,1,0,2,0.5358676827497336,142,1
2784,67,Male,Married,4,Master,Self-Employed,160710,572,75,2,0,1,1,0,1,273781,21655,89,3587,2677,3,14,13,3,3,2,0.27342364699766786,129,1
2552,26,Female,Divorced,4,Bachelor,Retired,173014,822,68,3,1,1,1,0,0,213685,40647,7,1566,17387,9,0,18,1,4,0,0.4627253766696581,63,0
2645,73,Female,Single,4,Master,Unemployed,75659,335,85,4,1,1,1,1,0,455658,10965,52,2322,1710,4,20,13,1,3,1,0.5871162144184673,169,1
1397,79,Male,Widowed,3,Master,Retired,126637,486,11,4,1,1,1,0,1,60044,44463,3,4539,7587,16,6,1,2,2,1,0.57407601584746,50,0
